date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:44	108502/108502	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2021:30:43%20GMT	https://www.conradlegaloffice.com/	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/index.html	(from )
13:30:44	189/189	---M-Z	200	added ('OK')	text/plain	etag:%228a6312e5347d91:0%22	https://www.conradlegaloffice.com/robots.txt		(from )
13:30:44	84310/84310	---M--	200	added ('OK')	image/jpeg	etag:%2280c4dbd41835d91:0%22	https://www.conradlegaloffice.com/assets/Social-Share[1].jpg	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/assets/Social-Share[1].jpg	(from https://www.conradlegaloffice.com/)
13:30:45	10256/10256	---M-Z	200	added ('OK')	application/javascript	etag:%229d8beeebbb4adc1:0%22	https://www.conradlegaloffice.com/common/usc/p/video.js	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/common/usc/p/video.js	(from https://www.conradlegaloffice.com/)
13:30:46	69106/69106	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Dec%202025%2021:30:46%20GMT	https://www.conradlegaloffice.com/common/	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/common/index.html	(from https://www.conradlegaloffice.com/)
13:30:46	69106/69106	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Dec%202025%2021:30:46%20GMT	https://www.conradlegaloffice.com/cms/	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/cms/index.html	(from https://www.conradlegaloffice.com/)
13:30:46	17478/17478	---M-Z	200	added ('OK')	image/svg+xml	etag:%221dc4a9f896ab700%22	https://www.conradlegaloffice.com/cms/svg/site/tegrqhvp91k.36.2510311249583.svg	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/cms/svg/site/tegrqhvp91k.36.2510311249583.svg	(from https://www.conradlegaloffice.com/)
13:30:47	69106/69106	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Dec%202025%2021:30:46%20GMT	https://www.conradlegaloffice.com/common/usc/js/	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/common/usc/js/index.html	(from https://www.conradlegaloffice.com/)
13:30:47	9188/9188	---M--	200	added ('OK')	image/png	etag:%22b9954f8f525d91:0%22	https://www.conradlegaloffice.com/images/brand/logo-dark.2301111150347.png	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/images/brand/logo-dark.2301111150347.png	(from https://www.conradlegaloffice.com/)
13:30:48	69106/69106	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Dec%202025%2021:30:47%20GMT	https://www.conradlegaloffice.com/usc/	/Users/ashkaun.iranfar/websites/conradlegaloffice.com/www.conradlegaloffice.com/usc/index.html	(from https://www.conradlegaloffice.com/)
